doi,grant_id,grant_n_current_dois,grant_has_doi,grant_has_no_doi_after_recovery,grant_title,grant_award_year,grant_pi,grant_institution,grant_program_name,grant_goal_text,grant_institution_type,grant_n_direct_dois,grant_n_source_dois_with_meta,grant_n_meta_analyses,grant_n_dois_in_submitted_direct_search,grant_direct_search_scope,grant_n_meta_dois_in_submitted,grant_meta_search_scope,grant_ies_title,grant_ies_pi,grant_ies_awardee,grant_ies_project_type,grant_ies_year,grant_ies_program_name,grant_ies_program_topic,grant_ies_award_page_url,grant_ies_institution_type_from_name,grant_institution_type_source,grant_institution_type_detail,grant_n_products_total,grant_n_products_with_doi,grant_n_products_without_doi,grant_had_any_eric_output,grant_center,grant_topic_area,grant_topic_source,grant_grant_design_class,grant_grant_subject_area,paper_is_empirical,paper_is_meta_analysis,paper_nonempirical_reason,paper_empirical_confirmed,paper_src_original,paper_src_eric_r3,paper_src_manual,paper_src_canonical,paper_src_crossref,paper_src_lydia_fill,paper_openalex_id,paper_title,paper_year,paper_date,paper_language,paper_type,paper_cited_by_count,paper_fwci,paper_is_retracted,paper_is_oa,paper_oa_status,paper_primary_topic,paper_primary_field,paper_abstract,paper_year_source,meta_doi,meta_openalex_id,meta_title,meta_type,meta_year,meta_is_meta_analysis,meta_evidence,meta_epmc_pubtypes,meta_abstract,is_center_grant,institution_is_firm,institution_type_4_0
10.1002/pam.20113,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,https://openalex.org/W1989759265,"Participation in a national, means-tested school voucher program",2005,1/1/2005,en,article,65,18.2702,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,"2005 We use use data from a a a a sample sample of of of applicants to to to to to to national national means-tested school school voucher voucher program program and and and and the the the the the the the population eligible for for for evaluate factors leading families vouchers. Our analysis divides process usage into two two distinct stages: initial application subsequent take-up. Using nested logit model, we find that some factors, like like like religious religious affiliation service attendance, affect affect both stages. stages. Others, mother's education, only one (application). Still others, ethnicity, have opposite effects at Compared Whites, minorities are more likely likely apply vouchers, but less take them when given opportunity. © by Association Public Policy Analysis Management",openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1016/j.econedurev.2007.06.004,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,https://openalex.org/W2172261910,The influence of an NCLB accountability plan on the distribution of student test score gains,2007,12/3/2007,en,article,74,13.8103,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,NA,openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1016/j.econedurev.2011.07.016,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://openalex.org/W1965404857,School innovation in district context: Comparing traditional public schools and charter schools,2011,8/14/2011,en,article,122,24.3765,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,NA,openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1016/j.econedurev.2011.09.007,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://openalex.org/W2029145293,Explaining the gap in charter and traditional public school teacher turnover rates,2011,10/2/2011,en,article,123,16.6783,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,NA,openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1016/j.econedurev.2012.03.002,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,https://openalex.org/W2037645163,The impact of a universal class-size reduction policy: Evidence from Florida's statewide mandate,2012,3/23/2012,en,article,74,30.711,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,NA,openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1016/j.jpubeco.2007.06.009,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://openalex.org/W3023183087,Can increasing private school participation and monetary loss in a voucher program affect public school performance? Evidence from Milwaukee,2007,7/26/2007,en,article,114,31.6743,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,NA,openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1080/15582159.2011.548256,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://openalex.org/W2027596587,Charter Schools and the Teacher Job Search,2011,2/28/2011,en,article,16,3.7553,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,"This This article article examines the the position of of of charter charter charter charter charter schools schools in prospective prospective elementary teachers' job search decisions. Using a a labor labor market market segmentation framework, it explores teacher applicants' applicants' decisions to to to to to apply apply schools. schools. schools. The The data come from mixed-methods longitudinal study teachers looking for their their first job. finds moderate support that is segmented between and and traditional public school's institutional status lack familiarity with were related disinclination",openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1080/15582159.2015.1132937,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://openalex.org/W2293163868,The Catholic School Advantage in a Changing Social Landscape: Consistency or Increasing Fragility?,2016,1/2/2016,en,article,21,5.3717,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,"For several decades, researchers have examined sector effects on student outcomes. Several argue the the presence of of of of of a a a Catholic Catholic Catholic Catholic school school advantage advantage (CSA), an effect that that shows improvement educational educational educational outcomes upon attendance at school. The magnitude this this this effect, however, is is often debated, particularly in in era reform. In study, we we analyze nationally representative data to to examine whether attending consistently promotes attainment. On net, find students who attend high schools are more likely continue education although not persistent across measures institutional selectivity.",openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1080/15700763.2011.611923,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://openalex.org/W2081926399,Instructional Leadership in Charter Schools: Is There an Organizational Effect or Are Leadership Practices the Result of Faculty Characteristics and Preferences?,2012,1/1/2012,en,article,17,8.0055,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,"Notable differences differences differences in in in in leadership leadership leadership leadership practices practices charter charter and and and and and and public public schools schools have have been documented, as teacher teacher teacher attributes between between these these schooling sectors. Given that that teachers are are not not distributed to to to at random but rather select (and selected by) institutions, we we ask: To what extent do do characteristics characteristics characteristics preferences preferences preferences influence across schools? This study applies regression analysis assess the relationship principal instructional instructional practices. practices. Contrary expectations, find teachers' shape their principal's",openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
10.1086/681920,R305A040043,24,TRUE,FALSE,National Research and Development Center on School Choice,2004,Ellen Goldring,Vanderbilt University,Education Research and Development Centers,Multiple Goals,Uni,17,NA,0,10,partial,NA,NA,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,2004,Education Research and Development Centers,Innovation in Education Reform,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni,06b live IES award page,University,47,10,37,TRUE,NCER,Policy,IES program topic,Other,Policy,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://openalex.org/W2299417085,Public School Choice and Racial Sorting: An Examination of Charter Schools in Indianapolis,2015,5/15/2015,en,article,50,22.9009,FALSE,FALSE,closed,School Choice and Performance,Social Sciences,"There has been a a a a long-standing concern among education researchers and and policy makers that that public public school school school school school school school choice choice may lead to to to to to increased racial racial racial isolation. Improving on aggregate comparisons, I I examine the the the the the the the sorting of of of of of of of students students students into charter charter charter charter schools schools by tracking individual from from their enrollment back they were enrolled in in in in immediately prior switch school, allowing for direct comparison demographics between two sectors. find evidence process process Indianapolis leads higher degrees isolation less diversity within than is present underlying student transfers district which majority these came.",openalex,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,Uni
