grant_id,n_products_total,n_products_with_doi,n_products_without_doi
R305A040043,47,10,37
R305A040056,20,17,3
R305A040082,30,16,14
R305A050004,11,2,9
R305A050056,21,8,13
R305A060010,28,1,27
R305A060021,57,43,14
R305A060034,83,11,72
R305A060044,19,17,2
R305A060067,119,39,80
R305A070063,11,7,4
R305A070117,2,1,1
R305A070185,4,2,2
R305A070324,4,4,0
R305A080133,6,5,1
R305A080196,4,3,1
R305A080253,9,8,1
R305A080326,15,15,0
R305A080347,7,7,0
R305A080459,4,4,0
R305A080479,7,6,1
R305A080512,11,8,3
R305A080608,8,6,2
R305A080627,1,1,0
R305A080631,6,6,0
R305A080696,4,4,0
R305A080699,15,13,2
R305A080700,4,1,3
R305A090032,1,1,0
R305A090039,1,0,1
R305A090094,7,7,0
R305A090150,1,1,0
R305A090162,1,1,0
R305A090209,1,1,0
R305A090212,1,1,0
R305A090294,2,1,1
R305A090353,1,1,0
R305A090369,3,3,0
R305A090438,14,13,1
R305A090446,2,1,1
R305A090481,1,0,1
R305A090527,7,5,2
R305A090528,7,5,2
R305A090533,6,3,3
R305A090555,19,17,2
R305A100058,2,2,0
R305A100066,5,1,4
R305A100116,4,1,3
R305A100342,46,40,6
R305A100367,13,8,5
R305A100381,3,2,1
R305A100445,2,0,2
R305A100568,1,1,0
R305A100596,2,2,0
R305A100654,8,8,0
R305A100670,3,2,1
R305A100971,2,1,1
R305A100995,3,1,2
R305A110085,17,8,9
R305A110112,5,3,2
R305A110136,8,7,1
R305A110149,2,2,0
R305A110204,2,1,1
R305A110252,1,1,0
R305A110297,1,1,0
R305A110358,10,8,2
R305A110609,1,1,0
R305A110685,2,0,2
R305A110703,9,9,0
R305A110809,1,1,0
R305A110967,1,0,1
R305A120045,1,0,1
R305A120125,67,32,35
R305A120145,5,5,0
R305A120184,1,1,0
R305A120262,1,1,0
R305A120269,4,1,3
R305A120288,3,1,2
R305A120466,1,0,1
R305A120631,3,3,0
R305A120677,3,3,0
R305A120781,16,13,3
R305A120809,1,0,1
R305A120810,2,2,0
R305A120811,3,2,1
R305A120812,18,15,3
R305A120813,12,11,1
R305A130011,8,8,0
R305A130044,6,2,4
R305A130107,5,5,0
R305A130125,6,1,5
R305A130143,24,23,1
R305A130195,4,0,4
R305A130336,4,4,0
R305A130400,6,2,4
R305A130700,3,3,0
R305A140059,10,6,4
R305A140070,6,5,1
R305A140092,7,5,2
R305A140121,3,0,3
R305A140189,13,12,1
R305A140221,1,1,0
R305A140253,3,3,0
R305A140340,9,2,7
R305A140356,8,8,0
R305A140361,15,7,8
R305A140363,1,1,0
R305A140378,2,2,0
R305A140488,3,0,3
R305A140559,3,3,0
