grant_id,eric_id,title,author,publicationtype,publicationdateyear,publisher,source,url
R305A040043,EJ1082317,"Supplemental Educational Services and Student Test Score Gains: Evidence from a Large, Urban School District","Springer, Matthew G.; Pepper, Matthew J.; Ghosh-Dastidar, Bonnie","Journal Articles,Reports - Evaluative",2014,"University of Illinois Press. 1325 South Oak Street, Champaign, IL 61820-6903. Tel: 217-244-0626; Fax: 217-244-8082; e-mail: journals@uillinois.edu; Web site: http://www.press.uillinois.edu/journals/main.html",Journal of Education Finance,http://muse.jhu.edu/login?auth=0&type=summary&url=/journals/journal_of_education_finance/v039/39.4.springer.html
R305A040043,ED486012,The Efficacy of Choice Threats within School Accountability Systems: Results from Legislatively Induced Experiments. PEPG 05-01,"West, Martin R.; Peterson, Paul E.",Reports - Research,2005,"Program on Education Policy and Governance, Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu.",Program on Education Policy and Governance,NA
R305A040043,ED513533,Public Opinion on Merit Pay: Self Interest vs. Symbolic Politics. Program on Education Policy and Governance Working Papers Series. PEPG 10-05,"Howell, William G.; Henderson, Michael","Numerical/Quantitative Data,Reports - Evaluative,Speeches/Meeting Papers",2010,"Program on Education Policy and Governance. Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu; Web site: http://www.hks.harvard.edu/pepg","Program on Education Policy and Governance, Harvard University",NA
R305A040043,ED513538,Citizen Perceptions of Government Service Quality: Evidence from Public Schools. Program on Education Policy and Governance Working Papers Series. PEPG 10-16,"Chingos, Matthew M.; Henderson, Michael; West, Martin R.",Reports - Research,2010,"Program on Education Policy and Governance. Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu; Web site: http://www.hks.harvard.edu/pepg","Program on Education Policy and Governance, Harvard University",NA
R305A040043,ED498041,School Reform in Philadelphia: A Comparison of Student Achievement at Privately-Managed Schools with Student Achievement in Other District Schools. PEPG 07-03,"Peterson, Paul E.",Reports - Evaluative,2007,"Program on Education Policy and Governance. Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu; Web site: http://www.ksg.harvard.edu/pepg/","Program on Education Policy and Governance, Harvard University",NA
R305A040043,ED498124,Civics Exam: Schools of Choice Boost Civic Values. PEPG/ 07-05,"Wolf, Patrick J.","Information Analyses,Reports - Evaluative",2007,"Program on Education Policy and Governance. Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu; Web site: http://www.ksg.harvard.edu/pepg/","Program on Education Policy and Governance, Harvard University",NA
R305A040043,ED511727,Instructional Conditions in Charter Schools and Students' Mathematics Achievement Gains. Research Brief,"Berends, Mark; Goldring, Ellen; Stein, Marc; Cravens, Xiu",Reports - Evaluative,2010,"National Center on School Choice, Vanderbilt University. Box 459 GPC, 230 Appleton Place, Nashville, TN 37203. Tel: 615-322-8107; Fax: 615-322-8828; Web site: http://www.vanderbilt.edu/schoolchoice","National Center on School Choice, Vanderbilt University (NJ1)",NA
R305A040043,ED509549,Charter Law and Charter Outcomes: Re-Examining the Charter School Marketplace,"Wong, Kenneth K.; Shen, Francis X.",Reports - Evaluative,2006,"National Center on School Choice, Vanderbilt University. Box 459 GPC, 230 Appleton Place, Nashville, TN 37203. Tel: 615-322-8107; Fax: 615-322-8828; Web site: http://www.vanderbilt.edu/schoolchoice","National Center on School Choice, Vanderbilt University (NJ1)",NA
R305A040043,ED494311,On the Public-Private School Achievement Debate. Faculty Research Working Papers Series,"Peterson, Paul E.; Llaudet, Elena","Reports - Evaluative,Speeches/Meeting Papers",2006,"Program on Education Policy and Governance. Harvard University, Kennedy School of Government, 79 John F. Kennedy Street, Taubman 304, Cambridge, MA 02138. Tel: 617-495-7976; Fax: 617-496-4428; e-mail: pepg@fas.harvard.edu; Web site: http://www.ksg.harvard.edu/pepg/","Program on Education Policy and Governance, Harvard University",NA
R305A040043,ED489769,Generational Change: Closing the Test Score Gap,"Peterson, Paul E., Ed.","Books,Collected Works - General,Information Analyses",2006,"Rowman & Littlefield Publishing Group, 4501 Forbes Blvd., Suite 200, Lanham, MD 20706. Tel: 800-462-6420 (Toll Free).",Rowman & Littlefield Education,http://www.rowmanlittlefield.com/ISBN/074254608X
