grant_id,is_center_grant,reason,grant_program_name
R305A040043,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A040056,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A040082,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A050004,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A050056,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A060010,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A060021,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A060034,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A060044,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A060067,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305A070063,FALSE,not a Research and Development Center program,Education Research Grants
R305A070117,FALSE,not a Research and Development Center program,Education Research Grants
R305A070185,FALSE,not a Research and Development Center program,Education Research Grants
R305A070324,FALSE,not a Research and Development Center program,Education Research Grants
R305A080063,FALSE,not a Research and Development Center program,Education Research Grants
R305A080066,FALSE,not a Research and Development Center program,Education Research Grants
R305A080096,FALSE,not a Research and Development Center program,Education Research Grants
R305A080133,FALSE,not a Research and Development Center program,Education Research Grants
R305A080196,FALSE,not a Research and Development Center program,Education Research Grants
R305A080253,FALSE,not a Research and Development Center program,Education Research Grants
R305A080326,FALSE,not a Research and Development Center program,Education Research Grants
R305A080347,FALSE,not a Research and Development Center program,Education Research Grants
R305A080372,FALSE,not a Research and Development Center program,Education Research Grants
R305A080459,FALSE,not a Research and Development Center program,Education Research Grants
R305A080464,FALSE,not a Research and Development Center program,Education Research Grants
R305A080479,FALSE,not a Research and Development Center program,Education Research Grants
R305A080512,FALSE,not a Research and Development Center program,Education Research Grants
R305A080608,FALSE,not a Research and Development Center program,Education Research Grants
R305A080627,FALSE,not a Research and Development Center program,Education Research Grants
R305A080631,FALSE,not a Research and Development Center program,Education Research Grants
R305A080696,FALSE,not a Research and Development Center program,Education Research Grants
R305A080697,FALSE,not a Research and Development Center program,Education Research Grants
R305A080699,FALSE,not a Research and Development Center program,Education Research Grants
R305A080700,FALSE,not a Research and Development Center program,Education Research Grants
R305A090019,FALSE,not a Research and Development Center program,Education Research Grants
R305A090032,FALSE,not a Research and Development Center program,Education Research Grants
R305A090039,FALSE,not a Research and Development Center program,Education Research Grants
R305A090094,FALSE,not a Research and Development Center program,Education Research Grants
R305A090100,FALSE,not a Research and Development Center program,Education Research Grants
R305A090114,FALSE,not a Research and Development Center program,Education Research Grants
R305A090150,FALSE,not a Research and Development Center program,Education Research Grants
R305A090162,FALSE,not a Research and Development Center program,Education Research Grants
R305A090195,FALSE,not a Research and Development Center program,Education Research Grants
R305A090197,FALSE,not a Research and Development Center program,Education Research Grants
R305A090204,FALSE,not a Research and Development Center program,Education Research Grants
R305A090209,FALSE,not a Research and Development Center program,Education Research Grants
R305A090212,FALSE,not a Research and Development Center program,Education Research Grants
R305A090281,FALSE,not a Research and Development Center program,Education Research Grants
R305A090294,FALSE,not a Research and Development Center program,Education Research Grants
R305A090353,FALSE,not a Research and Development Center program,Education Research Grants
R305A090361,FALSE,not a Research and Development Center program,Education Research Grants
R305A090369,FALSE,not a Research and Development Center program,Education Research Grants
R305A090438,FALSE,not a Research and Development Center program,Education Research Grants
R305A090446,FALSE,not a Research and Development Center program,Education Research Grants
R305A090479,FALSE,not a Research and Development Center program,Education Research Grants
R305A090481,FALSE,not a Research and Development Center program,Education Research Grants
R305A090527,FALSE,not a Research and Development Center program,Education Research Grants
R305A090528,FALSE,not a Research and Development Center program,Education Research Grants
R305A090533,FALSE,not a Research and Development Center program,Education Research Grants
R305A090555,FALSE,not a Research and Development Center program,Education Research Grants
R305A100047,FALSE,not a Research and Development Center program,Education Research Grants
R305A100058,FALSE,not a Research and Development Center program,Education Research Grants
R305A100066,FALSE,not a Research and Development Center program,Education Research Grants
R305A100116,FALSE,not a Research and Development Center program,Education Research Grants
R305A100120,FALSE,not a Research and Development Center program,Education Research Grants
R305A100275,FALSE,not a Research and Development Center program,Education Research Grants
R305A100289,FALSE,not a Research and Development Center program,Education Research Grants
R305A100342,FALSE,not a Research and Development Center program,Education Research Grants
R305A100367,FALSE,not a Research and Development Center program,Education Research Grants
R305A100369,FALSE,not a Research and Development Center program,Education Research Grants
R305A100381,FALSE,not a Research and Development Center program,Education Research Grants
R305A100389,FALSE,not a Research and Development Center program,Education Research Grants
R305A100445,FALSE,not a Research and Development Center program,Education Research Grants
R305A100568,FALSE,not a Research and Development Center program,Education Research Grants
R305A100583,FALSE,not a Research and Development Center program,Education Research Grants
R305A100596,FALSE,not a Research and Development Center program,Education Research Grants
R305A100625,FALSE,not a Research and Development Center program,Education Research Grants
R305A100654,FALSE,not a Research and Development Center program,Education Research Grants
R305A100670,FALSE,not a Research and Development Center program,Education Research Grants
R305A100971,FALSE,not a Research and Development Center program,Education Research Grants
R305A100995,FALSE,not a Research and Development Center program,Education Research Grants
R305A110085,FALSE,not a Research and Development Center program,Education Research Grants
R305A110112,FALSE,not a Research and Development Center program,Education Research Grants
R305A110136,FALSE,not a Research and Development Center program,Education Research Grants
R305A110149,FALSE,not a Research and Development Center program,Education Research Grants
R305A110176,FALSE,not a Research and Development Center program,Education Research Grants
R305A110204,FALSE,not a Research and Development Center program,Education Research Grants
R305A110252,FALSE,not a Research and Development Center program,Education Research Grants
R305A110297,FALSE,not a Research and Development Center program,Education Research Grants
R305A110358,FALSE,not a Research and Development Center program,Education Research Grants
R305A110397,FALSE,not a Research and Development Center program,Education Research Grants
R305A110398,FALSE,not a Research and Development Center program,Education Research Grants
R305A110483,FALSE,not a Research and Development Center program,Education Research Grants
R305A110515,FALSE,not a Research and Development Center program,Education Research Grants
R305A110609,FALSE,not a Research and Development Center program,Education Research Grants
R305A110685,FALSE,not a Research and Development Center program,Education Research Grants
R305A110703,FALSE,not a Research and Development Center program,Education Research Grants
R305A110809,FALSE,not a Research and Development Center program,Education Research Grants
R305A110967,FALSE,not a Research and Development Center program,Education Research Grants
R305A120045,FALSE,not a Research and Development Center program,Education Research Grants
R305A120125,FALSE,not a Research and Development Center program,Education Research Grants
R305A120145,FALSE,not a Research and Development Center program,Education Research Grants
R305A120184,FALSE,not a Research and Development Center program,Education Research Grants
R305A120262,FALSE,not a Research and Development Center program,Education Research Grants
R305A120269,FALSE,not a Research and Development Center program,Education Research Grants
R305A120280,FALSE,not a Research and Development Center program,Education Research Grants
R305A120288,FALSE,not a Research and Development Center program,Education Research Grants
R305A120391,FALSE,not a Research and Development Center program,Education Research Grants
R305A120466,FALSE,not a Research and Development Center program,Education Research Grants
R305A120631,FALSE,not a Research and Development Center program,Education Research Grants
R305A120677,FALSE,not a Research and Development Center program,Education Research Grants
R305A120781,FALSE,not a Research and Development Center program,Education Research Grants
R305A120809,FALSE,not a Research and Development Center program,Education Research Grants
R305A120810,FALSE,not a Research and Development Center program,Education Research Grants
R305A120811,FALSE,not a Research and Development Center program,Education Research Grants
R305A120812,FALSE,not a Research and Development Center program,Education Research Grants
R305A120813,FALSE,not a Research and Development Center program,Education Research Grants
R305A130011,FALSE,not a Research and Development Center program,Education Research Grants
R305A130044,FALSE,not a Research and Development Center program,Education Research Grants
R305A130107,FALSE,not a Research and Development Center program,Education Research Grants
R305A130125,FALSE,not a Research and Development Center program,Education Research Grants
R305A130143,FALSE,not a Research and Development Center program,Education Research Grants
R305A130195,FALSE,not a Research and Development Center program,Education Research Grants
R305A130206,FALSE,not a Research and Development Center program,Education Research Grants
R305A130336,FALSE,not a Research and Development Center program,Education Research Grants
R305A130400,FALSE,not a Research and Development Center program,Education Research Grants
R305A130700,FALSE,not a Research and Development Center program,Education Research Grants
R305A140059,FALSE,not a Research and Development Center program,Education Research Grants
R305A140070,FALSE,not a Research and Development Center program,Education Research Grants
R305A140092,FALSE,not a Research and Development Center program,Education Research Grants
R305A140121,FALSE,not a Research and Development Center program,Education Research Grants
R305A140189,FALSE,not a Research and Development Center program,Education Research Grants
R305A140221,FALSE,not a Research and Development Center program,Education Research Grants
R305A140253,FALSE,not a Research and Development Center program,Education Research Grants
R305A140298,FALSE,not a Research and Development Center program,Education Research Grants
R305A140340,FALSE,not a Research and Development Center program,Education Research Grants
R305A140356,FALSE,not a Research and Development Center program,Education Research Grants
R305A140361,FALSE,not a Research and Development Center program,Education Research Grants
R305A140363,FALSE,not a Research and Development Center program,Education Research Grants
R305A140378,FALSE,not a Research and Development Center program,Education Research Grants
R305A140386,FALSE,not a Research and Development Center program,Education Research Grants
R305A140488,FALSE,not a Research and Development Center program,Education Research Grants
R305A140493,FALSE,not a Research and Development Center program,Education Research Grants
R305A140559,FALSE,not a Research and Development Center program,Education Research Grants
R305A140692,FALSE,not a Research and Development Center program,Education Research Grants
R305A140698,FALSE,not a Research and Development Center program,Education Research Grants
R305A150043,FALSE,not a Research and Development Center program,Education Research Grants
R305A150046,FALSE,not a Research and Development Center program,Education Research Grants
R305A150049,FALSE,not a Research and Development Center program,Education Research Grants
R305A150057,FALSE,not a Research and Development Center program,Education Research Grants
R305A150058,FALSE,not a Research and Development Center program,Education Research Grants
R305A150088,FALSE,not a Research and Development Center program,Education Research Grants
R305A150108,FALSE,not a Research and Development Center program,Education Research Grants
R305A150142,FALSE,not a Research and Development Center program,Education Research Grants
R305A150169,FALSE,not a Research and Development Center program,Education Research Grants
R305A150200,FALSE,not a Research and Development Center program,Education Research Grants
R305A150207,FALSE,not a Research and Development Center program,Education Research Grants
R305A150221,FALSE,not a Research and Development Center program,Education Research Grants
R305A150243,FALSE,not a Research and Development Center program,Education Research Grants
R305A150253,FALSE,not a Research and Development Center program,Education Research Grants
R305A150325,FALSE,not a Research and Development Center program,Education Research Grants
R305A150407,FALSE,not a Research and Development Center program,Education Research Grants
R305A150429,FALSE,not a Research and Development Center program,Education Research Grants
R305A150431,FALSE,not a Research and Development Center program,Education Research Grants
R305A150438,FALSE,not a Research and Development Center program,Education Research Grants
R305A150463,FALSE,not a Research and Development Center program,Education Research Grants
R305A150477,FALSE,not a Research and Development Center program,Education Research Grants
R305A150488,FALSE,not a Research and Development Center program,Education Research Grants
R305A150517,FALSE,not a Research and Development Center program,Education Research Grants
R305A160013,FALSE,not a Research and Development Center program,Education Research Grants
R305A160026,FALSE,not a Research and Development Center program,Education Research Grants
R305A160060,FALSE,not a Research and Development Center program,Education Research Grants
R305A160082,FALSE,not a Research and Development Center program,Education Research Grants
R305A160109,FALSE,not a Research and Development Center program,Education Research Grants
R305A160111,FALSE,not a Research and Development Center program,Education Research Grants
R305A160140,FALSE,not a Research and Development Center program,Education Research Grants
R305A160166,FALSE,not a Research and Development Center program,Education Research Grants
R305A160177,FALSE,not a Research and Development Center program,Education Research Grants
R305A160188,FALSE,not a Research and Development Center program,Education Research Grants
R305A160223,FALSE,not a Research and Development Center program,Education Research Grants
R305A160241,FALSE,not a Research and Development Center program,Education Research Grants
R305A160242,FALSE,not a Research and Development Center program,Education Research Grants
R305A160255,FALSE,not a Research and Development Center program,Education Research Grants
R305A160261,FALSE,not a Research and Development Center program,Education Research Grants
R305A160263,FALSE,not a Research and Development Center program,Education Research Grants
R305A160273,FALSE,not a Research and Development Center program,Education Research Grants
R305A160346,FALSE,not a Research and Development Center program,Education Research Grants
R305A160388,FALSE,not a Research and Development Center program,Education Research Grants
R305A160400,FALSE,not a Research and Development Center program,Education Research Grants
R305A170044,FALSE,not a Research and Development Center program,Education Research Grants
R305A170047,FALSE,not a Research and Development Center program,Education Research Grants
R305A170052,FALSE,not a Research and Development Center program,Education Research Grants
R305A170068,FALSE,not a Research and Development Center program,Education Research Grants
R305A170074,FALSE,not a Research and Development Center program,Education Research Grants
R305A170111,FALSE,not a Research and Development Center program,Education Research Grants
R305A170114,FALSE,not a Research and Development Center program,Education Research Grants
R305A170139,FALSE,not a Research and Development Center program,Education Research Grants
R305A170152,FALSE,not a Research and Development Center program,Education Research Grants
R305A170160,FALSE,not a Research and Development Center program,Education Research Grants
R305A170171,FALSE,not a Research and Development Center program,Education Research Grants
R305A170180,FALSE,not a Research and Development Center program,Education Research Grants
R305A170241,FALSE,not a Research and Development Center program,Education Research Grants
R305A170243,FALSE,not a Research and Development Center program,Education Research Grants
R305A170250,FALSE,not a Research and Development Center program,Education Research Grants
R305A170288,FALSE,not a Research and Development Center program,Education Research Grants
R305A170471,FALSE,not a Research and Development Center program,Education Research Grants
R305A170498,FALSE,not a Research and Development Center program,Education Research Grants
R305A170523,FALSE,not a Research and Development Center program,Education Research Grants
R305A170529,FALSE,not a Research and Development Center program,Education Research Grants
R305A170635,FALSE,not a Research and Development Center program,Education Research Grants
R305A170640,FALSE,not a Research and Development Center program,Education Research Grants
R305A170641,FALSE,not a Research and Development Center program,Education Research Grants
R305A180004,FALSE,not a Research and Development Center program,Education Research Grants
R305A180050,FALSE,not a Research and Development Center program,Education Research Grants
R305A180060,FALSE,not a Research and Development Center program,Education Research Grants
R305A180154,FALSE,not a Research and Development Center program,Education Research Grants
