program_name,grants,share
Education Research Grants,273,0.597
Special Education Research Grants,108,0.236
Partnerships and Collaborations Focused on Problems of Practice or Policy,27,0.059
Field Initiated Evaluations of Education Innovations,12,0.026
Preschool Curriculum Evaluation Research,12,0.026
Social and Character Development,7,0.015
Research Grants Focused on Systematic Replication,4,0.009
Using Longitudinal Data to Support State Policymaking,4,0.009
Education Research and Development Centers,2,0.004
Improving Pandemic Recovery Efforts in Education Agencies,2,0.004
Unsolicited,2,0.004
Research Networks Focused on Critical Problems of Education Policy and Practice in Special Education,1,0.002
Research to Accelerate Pandemic Recovery in Special Education,1,0.002
Transformative Research in the Education Sciences,1,0.002
NA,1,0.002
