program_topic,grants,share
"Social, Emotional, and Behavioral Context for Teaching and Learning",52,0.114
NA,45,0.098
Early Intervention and Early Learning,31,0.068
Postsecondary and Adult Education,31,0.068
Early Learning Programs and Policies,30,0.066
Improving Education Systems,28,0.061
"Teaching, Teachers, and the Education Workforce",28,0.061
Evaluation of State and Local Education Programs and Policies,27,0.059
Literacy,26,0.057
"Science, Technology, Engineering, and Mathematics (STEM) Education",26,0.057
Cognition and Student Learning,25,0.055
"Social, Emotional, and Behavioral Competence",23,0.05
"Reading, Writing, and Language",16,0.035
Autism Spectrum Disorders,13,0.028
"English Learners Policies, Programs, and Practices",11,0.024
"Transition to Postsecondary Education, Career, and/or Independent Living",8,0.018
Education Technology,7,0.015
"Science, Technology, Engineering, and Mathematics",7,0.015
Education Leadership,6,0.013
Educators and School-Based Service Providers,4,0.009
Career and Technical Education,2,0.004
Cognition and Student Learning in Special Education,2,0.004
Community College Recovery Research Network,2,0.004
"Systems, Policy, and Finance",2,0.004
Civics Education and Social Studies,1,0.002
Families of Children with Disabilities,1,0.002
Improving Low Achieving Schools,1,0.002
Special Topics,1,0.002
The Multi-Tiered Systems of Support (MTSS) Network,1,0.002
