grant_id,ies_title,program_name,program_topic,topic_area,ies_purpose
R305A080459,Efficacy of Read It Again! In Rural Preschool Settings,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to test the efficacy of a fully developed language and literacy curricular supplement for preschoolers participating in need-based programs in rural communities. Read It Again! targets a systematic and explicit progression of high-priority skills in four language/literacy domains (narrative ability, vocabulary knowledge, phonological awareness, and print knowledge). These learning domains represent high-priority instructional targets as they are consistently linked to later developments in word recognition and reading comprehension, are likely to be under-developed among at-risk pupils during the preschool years, and are amenable to improvement within the context of high-quality instruction."
R305A080697,Closing the SES Related Gap in Young Children's Mathematical Knowledge,Education Research Grants,Early Learning Programs and Policies,ECE,"There is a national need for effective interventions to improve school readiness and subsequent achievement in mathematics for students from low-income families. A socioeconomic gap in mathematical knowledge is present in U.S. children by three years of age. This gap widens over the preschool years. Recent intervention research has found that early mathematics enrichment can significantly enhance low-income children's mathematical knowledge. However, providing a math intervention for 4-year-olds only does not entirely close the socioeconomic gap in early mathematical knowledge. In this project, the research team is evaluating the efficacy of a two-year preschool math intervention that begins when children are 3 years of age. In particular, the research team is comparing the effects of one versus two years of preschool math intervention."
R305A080700,Increasing the Efficacy of An Early Mathematics Curriculum with Scaffolding Designed to Promote Self-Regulation,Education Research Grants,Early Learning Programs and Policies,ECE,"Preschoolers who live in poverty typically show lower math achievement and often are identified as having greater problems with self-regulation than their middle-class peers. Focused prekindergarten interventions can result in dramatic increases in both mathematics achievement and self-regulation. Unfortunately, there is little research regarding whether such approaches can be combined effectively in the classroom. The purpose of this project is to examine the efficacy of a preschool intervention that combines mathematics learning and self-regulation skills."
R305A090114,Assessing the Efficacy of a Comprehensive Intervention in Physical Science on Head Start Teachers and Children,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this project is to test the efficacy of the Foundations of Science Literacy (FSL) intervention, a professional development program that was developed for use with Head Start teachers. By focusing on the Head Start community, FSL directly addresses the achievement gap in early science education by providing a framework for teachers to learn and implement preschool science instructional practices in classrooms serving children from low-income backgrounds. This study will examine the impact of the Foundations of Science Literacy (FSL) professional development program on teachers' attitudes toward and knowledge of physical science content, teachers' classroom instructional practices, and children's understanding of physical science content."
R305A090209,Preparing to Succeed: An Efficacy Trial of Two Early Childhood Curricula,Education Research Grants,Early Learning Programs and Policies,ECE,"Given the current interest in national and state initiatives to expand early childhood programming, questions of under what conditions impacts can be sustained, and for whom, are of great practical importance. Among the unanswered questions in the literature are the effects of a uniform curriculum across a large-scale program and how such impacts vary depending on the specific curricula used. This regression discontinuity study addressed this gap in the literature by examining the impacts of a year of exposure to two commonly used preschool curricula in a public prekindergarten program. The purpose of the study was to examine the impact of one year in a prekindergarten program on children's literacy, mathematics, executive functioning, and socioemotional outcomes."
R305A090212,Improving School Readiness of High-Risk Preschoolers: Combining High-Quality Instructional Strategies with Responsive Training for Teachers and Parents,Education Research Grants,Early Learning Programs and Policies,ECE,"The purpose of this study is to determine if the combination of two proven interventions-one delivered in the classroom (The Early Education Model-TEEM) and one delivered in the home (Play & Learning Strategies-PALS)-results in a synergistic versus additive effect on children's school readiness skills (i.e., social, language, early literacy) and early kindergarten reading and social competence. This study bridges the gap between the school and home environments for pre-kindergarten children from low socioeconomic homes, an area that has received little attention. It is expected that the combined interventions will result in greater child self-regulation that will mediate, along with gains in teacher and parent behaviors, the impact of both interventions on children's school readiness skills."
R305A090353,"Focusing on the Efficacy of Teaching Advanced Forms of Patterning on First Graders' Improvements in Reading, Mathematics, and Reasoning Ability",Education Research Grants,Cognition and Student Learning,ECE,"""Patterning"" is the ability to recognize an ordering of numbers, letters, shapes, symbols, objects, or events according to some rule of progression. Understanding the place of an item in a pattern depends on understanding how it is related to items just preceding or following it. By first grade, children are expected to be developing the ability to understand patterns involving orientation or rotation, temporal and causal patterns of activities or events, and repetitive arbitrary patterns of colors or shapes (for example red, blue, green, red, blue, green). This project builds on two previous IES projects carried out with preschool and kindergarten children, and is designed to test the efficacy of a fully developed patterning intervention on first-grade children's reading, mathematics, and reasoning performance. Findings from these earlier studies indicate that helping children develop the age-appropriate abstract thinking involved in recognizing patterns produces significant academic progress in numeracy and knowledge of letter sounds when implemented with kindergarten children. However, the level of patterning practice that was needed to produce such progress is much higher than what is currently seen in typical instruction."
R305A090533,Experimental Validation of the Tools of the Mind Prekindergarten Curriculum,Education Research Grants,Early Learning Programs and Policies,ECE,The purpose of this efficacy study is to conduct an experimental evaluation of the Tools of the Mind prekindergarten curriculum. This curriculum focuses on developing learning skills that enable children to engage in and benefit from all kinds of learning tasks and activities that occur in the classroom. The Tools of the Mind curriculum is intended to promote the basic academic and social skills that will prepare children for school success in kindergarten and beyond.
R305A100275,ECHOS: Early Childhood Hands on Science,Education Research Grants,Early Learning Programs and Policies,ECE,"In recent years, early childhood education has emphasized children's school readiness in the domains of language, literacy, and mathematics. To date, there has been limited systematic focus on science education in preschool. There is a need for the development, implementation, and evaluation of preschool science curricula that will promote young children's understanding of basic science concepts. The purpose of this project is to conduct an efficacy study of a comprehensive early childhood science curriculum and professional development program."
R305A110483,Numbers Plus Efficacy Study,Education Research Grants,Early Learning Programs and Policies,ECE,"Improving the math proficiency of children, especially those from low-income backgrounds, depends upon two factors. One is an appropriate curriculum that sequences early learning in key content areas. The second critical variable in improving math ability is the instructional competence of teachers. Unfortunately, the ability of teachers to deliver appropriate math instruction is hampered by their anxiety about teaching math, attitudes about math's importance in the curriculum, lack of knowledge regarding early math development, and inability to identify and apply appropriate teaching strategies. This project will gather information about the efficacy of the research-based Numbers Plus curriculum that is possible when teachers are given appropriate professional development support."
