grant_id,ies_title,project_type,design,is_rct_final,design_signal,pre_wwc_call,in_wwc,wwc_designs,wwc_is_rct,rct_evidence,eric_rct_desc,eric_qed_desc,hit_title,hit_purpose,hit_abstract,hit_eric,hit_nonrct,is_center,n_abstracts,is_trial_design
R305A080608,Project Collaborative Strategic Reading (CSR): Interventions for Struggling Adolescent and Adult Readers and Writers,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,32,TRUE
R305A090294,Impact of Teacher Study Groups as Observed Teaching Practice and Student Vocabulary Knowledge: A Multi-Site Randomized Control Trial in First Grade,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,title + abstract + eric,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,6,TRUE
R305A090528,Applications of Intelligent Tutoring Systems (ITS) to Improve the Skill Levels of Students with Deficiencies in Mathematics,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
R305A090533,Experimental Validation of the Tools of the Mind Prekindergarten Curriculum,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,eric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,TRUE
R305A090555,Word Generation: An Efficacy Trial,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,16,TRUE
R305A110252,Assessing the Efficacy of Check & Connect for Improving Outcomes for At-Risk High School Students,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE
R305A120811,Burst: Reading Efficacy Study,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,TRUE
R305A130107,Professional Development to Support New Teachers' Use of Effective Classroom Management Techniques,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
R305A140189,Testing the Efficacy of an Ecological Approach to Family Intervention and Treatment During Early Elementary School to Prevent Problem Behavior and Improve Academic Outcomes,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,purpose + abstract + eric,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,8,TRUE
R305A140340,Khan Academy Resources for Maximizing Mathematics Achievement: A Postsecondary Mathematics Efficacy Study,Efficacy,Efficacy,TRUE,RCT (ERIC descriptor),RCT,FALSE,NA,FALSE,abstract + eric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE
