grant_id,ies_title,project_type,design,triage,confidence,rationale
R305A090361,Effects of Classroom Management Training on Early Learning Skills,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A100596,Academic Achievement Outcomes from a Pre-K Family and School Intervention,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A110703,Efficacy of the WINGS After-School Social and Emotional Learning (SEL) Program,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A130206,My Science Tutor: Improving Science Learning through Tutorial Dialogs (MyST),Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A170523,Adaptive Response to Intervention (RTI) for Students with ADHD,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A170640,Enhancing Middle School Mathematics Achievement through Spatial Skills Instruction,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A210506,A Lottery-Based Efficacy Study of the District of Columbia Public Prekindergarten Program,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A220107,Efficacy of Early Language Comprehension Individualized Instruction (ELCII),Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305J030120,Building Language for Literacy and Core Knowledge,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R324A110079,Testing an Integrated Preschool Curriculum for English Language Learners,Efficacy,Efficacy,likely RCT (efficacy trial),high,explicit experimental cue in purpose (lottery / experimental / assigned to conditions / business-as-usual)
R305A100275,ECHOS: Early Childhood Hands on Science,Efficacy,Efficacy,likely RCT (efficacy trial),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A160388,Could Connecting Students with Financial Aid Lead to Better College Outcomes? A Proposal to Test the Effectiveness of FAFSA Interventions Using the NPSAS Sample,Efficacy,Efficacy,likely RCT (efficacy trial),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305J020027,Impact of the Project Approach on Children's School Readiness and School Achievement,Efficacy,Efficacy,likely RCT (efficacy trial),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R324A180091,Efficacy Follow-Up Study of the CSESA Model,Efficacy,Efficacy,likely RCT (efficacy trial),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A080066,Evaluation of the SOURCE Program: An Intervention to Promote College Application and Enrollment Among Urban Youth - Primary Outcomes,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A080096,Improving Postsecondary Preparation in Urban Public High Schools: An Evaluation of AVID in Chicago,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A080347,Mindful Instruction of Nonmainstream Children,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A080459,Efficacy of Read It Again! In Rural Preschool Settings,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A080700,Increasing the Efficacy of An Early Mathematics Curriculum with Scaffolding Designed to Promote Self-Regulation,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A090094,Efficacy of the Science Writing Heuristic Approach,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A090195,Testing the Effectiveness of CALM for High School Chemistry Students,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A090197,Efficacy Study of AnimalWatch: An Intelligent Tutoring System for Pre-Algebra,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A090353,"Focusing on the Efficacy of Teaching Advanced Forms of Patterning on First Graders' Improvements in Reading, Mathematics, and Reasoning Ability",Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
R305A100047,Linear Functions for Teaching: An Efficacy Study of Learning and Teaching Linear Functions,Efficacy,Efficacy,likely RCT (efficacy trial),medium,"purpose describes testing the efficacy/impact of a researcher-delivered intervention (IES Goal-3 efficacy template, predominantly RCT)"
