grant_id,ies_title,ies_pi,ies_awardee,ies_project_type,ies_award_number,ies_year,ies_award_period,ies_purpose,ies_award_amount_text,ies_program_topic,ies_program_name,ies_award_page_url,ies_institution_type_from_name
R305A040043,National Research and Development Center on School Choice,Ellen Goldring,Vanderbilt University,Other,R305A040043,2004,2004,NA,"$9,972,909",Innovation in Education Reform,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-research-and-development-center-school-choice,Uni
R305A040056,National Research Center on Rural Education Support,Thomas Farmer,"University of North Carolina, Chapel Hill",Other,R305A040056,2004,2004,NA,"$10,000,000",Rural Education,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-research-center-rural-education-support,Uni
R305A040082,Center for Data-Driven Reform in Education,Robert Slavin,Johns Hopkins University,Efficacy,R305A040082,2004,2004,NA,"$9,997,674",Improving Low Achieving Schools,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/center-data-driven-reform-education,Uni
R305A050004,"Center for Research on Evaluation, Standards, and Student Testing (CRESST)",Eva Baker,"University of California, Los Angeles",Development and Innovation,R305A050004,2005,2005,NA,"$9,968,718","Assessment, Standards, and Accountability Research",Education Research and Development Centers,https://ies.ed.gov/use-work/awards/center-research-evaluation-standards-and-student-testing-cresst,Uni
R305A050056,Center for Research on the Educational Achievement and Teaching of English Language Learners (CREATE),David Francis,University of Houston,Development and Innovation,R305A050056,2005,2005,NA,"$9,897,290",English Language Learners Research,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/center-research-educational-achievement-and-teaching-english-language-learners-create,Uni
R305A060010,National Center for Postsecondary Research,Thomas Bailey,"Teachers College, Columbia University",Other,R305A060010,2006,2006,NA,"$9,813,619",Postsecondary Education and Training,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-center-postsecondary-research,Uni
R305A060021,National Center for Research on Early Childhood Education,Robert C. Pianta,University of Virginia,Other,R305A060021,2006,2006,NA,"$11,016,009",Early Childhood Development and Education,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-center-research-early-childhood-education,Uni
R305A060034,National Center for Performance Incentives (Policy-NCPI),Matthew G. Springer,Vanderbilt University,Efficacy,R305A060034,2006,2006,NA,"$10,835,509",NA,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-center-performance-incentives-policy-ncpi,Uni
R305A060044,National Research Center on the Gifted and Talented,Joseph Renzulli,University of Connecticut,Other,R305A060044,2006,2006,NA,"$8,706,200",NA,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/national-research-center-gifted-and-talented,Uni
R305A060067,Center for Analysis of Longitudinal Data in Education Research (CALDER),Jane Hannaway,American Institutes for Research (AIR),Other,R305A060067,2006,2006,NA,"$11,996,301",State and Local Policy,Education Research and Development Centers,https://ies.ed.gov/use-work/awards/center-analysis-longitudinal-data-education-research-calder,Other
