doi,metadata_source,publication_title,publication_source_title,publication_type,publication_publisher,publication_date,publication_year,metadata_url,metadata_status,metadata_error
10.1001/jama.2014.607,openalex,Associations of Housing Mobility Interventions for Children in High-Poverty Neighborhoods With Subsequent Mental Disorders During Adolescence,JAMA,article,NA,2014-03-04,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1001%2Fjama.2014.607,success,NA
10.1001/jama.2016.6187,openalex,"Notice of Retraction and Replacement: Kessler RC, et al. Associations of Housing Mobility Interventions for Children in High-Poverty Neighborhoods With Subsequent Mental Disorders During Adolescence.<i>JAMA</i>. 2014;311(9):937-947.",JAMA,letter,NA,2016-06-17,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1001%2Fjama.2016.6187,success,NA
10.1002/tea.21148,openalex,Effectiveness of a curricular and professional development intervention at improving elementary teachers' science content knowledge and student achievement outcomes: Year 1 results,Journal of Research in Science Teaching,article,NA,2014-03-26,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1002%2Ftea.21148,success,NA
10.1002/tea.21198,openalex,Development and validation of a measure of elementary teachers' science content knowledge in two multiyear teacher professional development intervention projects,Journal of Research in Science Teaching,article,NA,2015-02-25,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1002%2Ftea.21198,success,NA
10.1007/978-3-319-31235-4_9,openalex,Using Advances in Cognitive Science to Improve Students Study Skills and Reading Comprehension,Literacy studies,book-chapter,NA,2016-01-01,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2F978-3-319-31235-4_9,success,NA
10.1007/s10464-010-9295-z,openalex,Implementation Quality and Positive Experiences in After‐School Programs,American Journal of Community Psychology,article,NA,2010-03-13,2010,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10464-010-9295-z,success,NA
10.1007/s10464-013-9576-4,openalex,Promoting Alternative Thinking Strategies (PATHS) and Elementary School Aged Children's Aggression: Results from a Cluster Randomized Trial,American Journal of Community Psychology,article,NA,2013-04-27,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10464-013-9576-4,success,NA
10.1007/s10484-014-9241-1,openalex,A Pilot Feasibility Study of Neurofeedback for Children with Autism,Applied Psychophysiology and Biofeedback,article,NA,2014-04-15,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10484-014-9241-1,success,NA
10.1007/s10560-022-00906-9,openalex,Youth-Caseworker Relationship Quality &amp; Academic Resilience Among Transition-Age Youth in Foster Care,Child and Adolescent Social Work Journal,article,NA,2022-11-23,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10560-022-00906-9,success,NA
10.1007/s10758-014-9233-5,openalex,Testing the Impact of a Pre-instructional Digital Game on Middle-Grade Students’ Understanding of Photosynthesis,Technology Knowledge and Learning,article,NA,2014-08-16,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10758-014-9233-5,success,NA
10.1007/s10802-019-00596-5,openalex,School-Based Treatment for Anxiety Research Study (STARS): a Randomized Controlled Effectiveness Trial,Journal of Abnormal Child Psychology,article,NA,2019-11-20,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10802-019-00596-5,success,NA
10.1007/s10802-020-00626-7,openalex,Pediatric Anxiety Disorders: A Cost of Illness Analysis,Journal of Abnormal Child Psychology,article,NA,2020-02-20,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10802-020-00626-7,success,NA
10.1007/s10802-020-00652-5,openalex,Moderators of School Intervention Outcomes for Children with Autism Spectrum Disorder,Journal of Abnormal Child Psychology,article,NA,2020-05-01,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10802-020-00652-5,success,NA
10.1007/s10803-015-2597-0,openalex,"Randomized, Controlled Trial of a Comprehensive Program for Young Students with Autism Spectrum Disorder",Journal of Autism and Developmental Disorders,article,NA,2015-10-05,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs10803-015-2597-0,success,NA
10.1007/s11092-013-9166-x,openalex,Development and testing of a direct observation code training protocol for elementary aged students with attention deficit/hyperactivity disorder,Educational Assessment Evaluation and Accountability,article,NA,2013-05-06,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11092-013-9166-x,success,NA
10.1007/s11121-009-0156-7,openalex,An Experimental Evaluation of the All Stars Prevention Curriculum in a Community After School Setting,Prevention Science,article,NA,2009-10-26,2009,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11121-009-0156-7,success,NA
10.1007/s11121-011-0265-y,openalex,Person Mobility in the Design and Analysis of Cluster-Randomized Cohort Prevention Trials,Prevention Science,article,NA,2012-01-16,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11121-011-0265-y,success,NA
10.1007/s11121-021-01257-0,openalex,Can Policy Promote Adoption or Outcomes of Evidence-based Prevention Programming?: a Case Illustration of Positive Behavioral Interventions and Supports,Prevention Science,article,NA,2021-06-08,2021,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11121-021-01257-0,success,NA
10.1007/s11145-007-9079-5,openalex,Contextual effects on predicting risk for reading difficulties in first and second grade,Reading and Writing,article,NA,2007-06-29,2007,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11145-007-9079-5,success,NA
10.1007/s11145-012-9419-y,openalex,The impact of a systematic and explicit vocabulary intervention in Spanish with Spanish-speaking English learners in first grade,Reading and Writing,article,NA,2012-10-16,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11145-012-9419-y,success,NA
10.1007/s11292-010-9101-9,openalex,Deviancy training: understanding how preventive interventions harm,Journal of Experimental Criminology,article,NA,2010-07-07,2010,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11292-010-9101-9,success,NA
10.1007/s11292-013-9189-9,openalex,Long-term effects of the Moving to Opportunity residential mobility experiment on crime and delinquency,Journal of Experimental Criminology,article,NA,2013-09-07,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs11292-013-9189-9,success,NA
10.1007/s12310-018-9253-8,openalex,Children’s Perceptions of Barriers to Session Attendance in School-Based Treatment for Anxiety,School Mental Health,article,NA,2018-02-09,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs12310-018-9253-8,success,NA
10.1007/s12310-019-09331-3,openalex,Exploring Treatment as Usual for Pediatric Anxiety Disorders Among School-Based Clinicians,School Mental Health,article,NA,2019-06-17,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs12310-019-09331-3,success,NA
10.1007/s12310-020-09381-y,openalex,School-Based Clinicians Sustained Use of a Cognitive Behavioral Treatment for Anxiety Disorders,School Mental Health,article,NA,2020-07-14,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs12310-020-09381-y,success,NA
10.1007/s12310-021-09480-4,openalex,Outcomes of a Small Group Program for Early Elementary Students with Self-Regulation Difficulties: Limitations of Transportability from Clinic to School,School Mental Health,article,NA,2021-10-15,2021,https://api.openalex.org/works?filter=doi:https://doi.org/10.1007%2Fs12310-021-09480-4,success,NA
10.1016/j.adolescence.2010.01.007,openalex,Structure and deviancy training in after‐school programs,Journal of Adolescence,article,NA,2010-02-18,2010,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.adolescence.2010.01.007,success,NA
10.1016/j.childyouth.2012.07.018,openalex,"My Life: Effects of a longitudinal, randomized study of self-determination enhancement on the transition outcomes of youth in foster care and special education",Children and Youth Services Review,article,NA,2012-08-10,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.childyouth.2012.07.018,success,NA
10.1016/j.childyouth.2013.08.010,openalex,Reaching everyone: Promoting the inclusion of youth with disabilities in evaluating foster care outcomes,Children and Youth Services Review,article,NA,2013-08-28,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.childyouth.2013.08.010,success,NA
10.1016/j.childyouth.2015.06.011,openalex,Who am I? Who do you think I am? Stability of racial/ethnic self-identification among youth in foster care and concordance with agency categorization,Children and Youth Services Review,article,NA,2015-06-25,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.childyouth.2015.06.011,success,NA
10.1016/j.compedu.2013.09.008,openalex,Positive technological and negative pre-test-score effects in a four-year assessment of low socioeconomic status K-8 student learning in computer-based Math and Language Arts courses,Computers & Education,article,NA,2013-09-28,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.compedu.2013.09.008,success,NA
10.1016/j.compedu.2017.03.017,openalex,Clickers can promote fact retention but impede conceptual understanding: The effect of the interaction between clicker use and pedagogy on learning,Computers & Education,article,NA,2017-03-31,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.compedu.2017.03.017,success,NA
10.1016/j.ecresq.2011.09.004,openalex,Reliability and validity of the Classroom Observations of Student–Teacher Interactions (COSTI) for kindergarten reading instruction,Early Childhood Research Quarterly,article,NA,2011-09-22,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2011.09.004,success,NA
10.1016/j.ecresq.2012.11.001,openalex,Inferential talk during teacher–child interactions in small-group play,Early Childhood Research Quarterly,article,NA,2012-12-05,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2012.11.001,success,NA
10.1016/j.ecresq.2018.06.008,openalex,A study of the developing relations between self-regulation and mathematical knowledge in the context of an early math intervention,Early Childhood Research Quarterly,article,NA,2018-08-06,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2018.06.008,success,NA
10.1016/j.ecresq.2020.04.002,openalex,The impact of a supplementary preschool mathematics curriculum on children's early mathematics learning,Early Childhood Research Quarterly,article,NA,2020-01-01,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2020.04.002,success,NA
10.1016/j.ecresq.2021.03.007,openalex,Replication of combined school readiness interventions for teachers and parents of head start pre-kindergarteners using remote delivery,Early Childhood Research Quarterly,article,NA,2021-01-01,2021,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2021.03.007,success,NA
10.1016/j.ecresq.2022.07.005,openalex,Accountability-driven school reform: are there unintended effects on younger children in untested grades?,Early Childhood Research Quarterly,article,NA,2022-01-01,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.ecresq.2022.07.005,success,NA
10.1016/j.jsp.2007.06.003,openalex,Form effects on the estimation of students' oral reading fluency using DIBELS,Journal of School Psychology,article,NA,2007-07-26,2007,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.jsp.2007.06.003,success,NA
10.1016/j.jsp.2012.09.002,openalex,Effects of a paired bilingual reading program and an English-only program on the reading performance of English learners in Grades 1–3,Journal of School Psychology,article,NA,2012-09-28,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.jsp.2012.09.002,success,NA
10.1016/j.jsp.2017.10.004,openalex,Investigating teacher and student effects of the Incredible Years Classroom Management Program in early elementary school,Journal of School Psychology,article,NA,2017-11-04,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.jsp.2017.10.004,success,NA
10.1016/j.jsp.2019.09.003,openalex,A multilevel analysis of racial discipline disproportionality: A focus on student perceptions of academic engagement and disciplinary environment,Journal of School Psychology,article,NA,2019-11-26,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.jsp.2019.09.003,success,NA
10.1016/j.jsp.2022.04.003,openalex,Exploring profiles of coaches' fidelity to Double Check's Motivational Interviewing-embedded coaching: Outcomes associated with fidelity,Journal of School Psychology,article,NA,2022-04-30,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.jsp.2022.04.003,success,NA
10.1016/j.tate.2017.03.005,openalex,Teacher implementation of an adolescent reading intervention,Teaching and Teacher Education,article,NA,2017-03-21,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1016%2Fj.tate.2017.03.005,success,NA
10.1017/jgc.2020.3,openalex,School connectedness and child anxiety,Journal of Psychologists and Counsellors in Schools,article,NA,2020-03-03,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1017%2Fjgc.2020.3,success,NA
10.1017/s1352465819000699,openalex,"Concordance between clinician, supervisor and observer ratings of therapeutic competence in CBT and treatment as usual: does clinician competence or supervisor session observation improve agreement?",Behavioural and Cognitive Psychotherapy,article,NA,2019-12-06,2019,https://api.openalex.org/works?filter=doi:https://doi.org/10.1017%2Fs1352465819000699,success,NA
10.1037/0278-7393.33.4.704,openalex,"Expanding retrieval practice promotes short-term retention, but equally spaced retrieval enhances long-term retention.",Journal of Experimental Psychology Learning Memory and Cognition,article,NA,2007-01-01,2007,https://api.openalex.org/works?filter=doi:https://doi.org/10.1037%2F0278-7393.33.4.704,success,NA
10.1037/1076-898x.13.4.273,openalex,The effect of type and timing of feedback on learning from multiple-choice tests.,Journal of Experimental Psychology Applied,article,NA,2007-01-01,2007,https://api.openalex.org/works?filter=doi:https://doi.org/10.1037%2F1076-898x.13.4.273,success,NA
10.1037/rev0000072,openalex,A computational model of fraction arithmetic.,Psychological Review,article,NA,2017-04-27,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1037%2Frev0000072,success,NA
10.1044/2015_jslhr-l-13-0266,openalex,The Dimensionality of Spanish in Young Spanish–English Dual-Language Learners,Journal of Speech Language and Hearing Research,article,NA,2015-06-01,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1044%2F2015_jslhr-l-13-0266,success,NA
10.1044/2020_jslhr-20-00036,openalex,Joint Attention and Sensory-Regulatory Features at 13 and 22 Months as Predictors of Preschool Language and Social-Communication Outcomes,Journal of Speech Language and Hearing Research,article,NA,2020-08-18,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1044%2F2020_jslhr-20-00036,success,NA
10.1056/nejmsa1103216,openalex,"Neighborhoods, Obesity, and Diabetes — A Randomized Social Experiment",New England Journal of Medicine,article,NA,2011-10-19,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1056%2Fnejmsa1103216,success,NA
10.1073/pnas.1500176112,openalex,Neighborhood effects on use of African-American Vernacular English,Proceedings of the National Academy of Sciences,article,NA,2015-09-08,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1073%2Fpnas.1500176112,success,NA
10.1080/00131725.2018.1420865,openalex,Writing Practices for Mainstream Teachers of Middle School English Learners: Building on What We Know Works Effectively,The Educational Forum,article,NA,2018-03-13,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F00131725.2018.1420865,success,NA
10.1080/02568540609594580,openalex,Effects of Teaching Patterning to 1st-Graders,Journal of Research in Childhood Education,article,NA,2006-09-01,2006,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F02568540609594580,success,NA
10.1080/02796015.2011.12087532,openalex,Promoting Academic Competence and Behavioral Health in Public Schools: A Strategy of Systemic Concatenation of Empirically Based Intervention Principles,School Psychology Review,article,NA,2011-12-01,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F02796015.2011.12087532,success,NA
10.1080/02796015.2012.12087516,openalex,Behavioral Competence and Academic Functioning Among Early Elementary Children With Externalizing Problems,School Psychology Review,article,NA,2012-06-01,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F02796015.2012.12087516,success,NA
10.1080/10409289.2017.1279527,openalex,"Foundations of Science Literacy: Efficacy of a Preschool Professional Development Program in Science on Classroom Instruction, Teachers’ Pedagogical Content Knowledge, and Children’s Observations and Predictions",Early Education and Development,article,NA,2017-02-02,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F10409289.2017.1279527,success,NA
10.1080/10627197.2013.814515,openalex,Semiotic Structure and Meaning Making: The Performance of English Language Learners on Mathematics Tests,Educational Assessment,article,NA,2013-07-01,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F10627197.2013.814515,success,NA
10.1080/10627197.2013.814516,openalex,Effectiveness of an Individualized Computer-Driven Online Math K-5 Course in Eight California Title I Elementary Schools,Educational Assessment,article,NA,2013-07-01,2013,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F10627197.2013.814516,success,NA
10.1080/10888691.2015.1074050,openalex,Kindergarten Impacts of a Preschool Language-Focused Intervention,Applied Developmental Science,article,NA,2015-08-25,2015,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F10888691.2015.1074050,success,NA
10.1080/1350293x.2020.1755497,openalex,The acceptance of Turkish kindergarten children toward children with disabilities,European Early Childhood Education Research Journal,article,NA,2020-05-03,2020,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F1350293x.2020.1755497,success,NA
10.1080/15374416.2015.1055859,openalex,"Comparative Cost Analysis of Sequential, Adaptive, Behavioral, Pharmacological, and Combined Treatments for Childhood ADHD",Journal of Clinical Child & Adolescent Psychology,article,NA,2016-01-25,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F15374416.2015.1055859,success,NA
10.1080/15374416.2015.1105138,openalex,Treatment Sequencing for Childhood ADHD: A Multiple-Randomization Study of Adaptive Medication and Behavioral Interventions,Journal of Clinical Child & Adolescent Psychology,article,NA,2016-02-16,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.1080%2F15374416.2015.1105138,success,NA
