grant_id,doi
R305A090114,10.1080/10409289.2017.1279527
R305A110685,10.1007/s11538-020-00782-3
R305A140386,10.1016/j.ecresq.2025.01.006
R305A210286,10.1080/10668926.2025.2502627
R305A220036,10.3102/01623737261419046
R305C190004,10.3102/01623737261438143
R324A090094,10.1007/s10803-015-2597-0
R324A100166,10.1007/s10560-022-00906-9
R324A120232,10.1177/27324745221097354
R305A080063,10.1145/3485128
R305A080096,10.1055/s-0029-1245462
R305A090019,10.1080/01402382.2016.1181871
R305A090019,10.1111/j.1468-0386.2008.00415.x
R305A090197,10.3389/feduc.2022.755914
R305A090197,10.1609/aimag.v34i4.2490
R305A090479,10.17161/foec.v42i8.6906
R305A090479,10.20429/ijsotl.2009.030216
R305A100289,10.1787/9789264086487-14-en
R305A120280,10.3386/w23744
R305A120809,10.1016/j.cbpra.2018.03.006
R305E050052,10.14507/epaa.v19n1.2011
R305E090003,10.1093/jopart/mur011
R305E190002,10.14507/epaa.27.3722
R305E190002,10.6028/nist.sp.1230-2
R305E190002,10.46830/wriib.21.00135
R305J020039,10.1016/j.chb.2015.07.045
R305J020039,10.1007/s10803-015-2407-8
R305J030120,10.1371/journal.pone.0061217
R305J030120,10.1002/trtr.1343
R305L030173,10.1177/0305829816636673
R305L030173,10.1215/22011919-3610012
R305L030173,10.1525/luminos.15
R305A110967,10.1002/pam.22037
R324A110048,10.1016/j.ecresq.2010.12.003
